2026-07-28 16:40:39 | WARNING  | EEG_API | the model not found , Downloading from W&B .
2026-07-28 16:44:11 | WARNING  | EEG_API | the model not found , Downloading from W&B .
2026-07-28 16:44:14 | WARNING  | EEG_API | the model not found , Downloading from W&B .
2026-07-28 16:49:11 | WARNING  | EEG_API | the model not found , Downloading from W&B .
2026-07-28 16:55:51 | WARNING  | EEG_API | the model not found , Downloading from W&B .
2026-07-28 16:55:54 | INFO     | EEG_API | model loaded successfully.
2026-07-28 16:56:52 | WARNING  | EEG_API | the model not found , Downloading from W&B .
2026-07-28 16:59:38 | WARNING  | EEG_API | the model not found , Downloading from W&B .
2026-07-28 17:01:05 | WARNING  | EEG_API | the model not found , Downloading from W&B .
2026-07-28 17:01:47 | INFO     | EEG_API | using the cached model.
2026-07-28 17:01:51 | INFO     | EEG_API | model loaded successfully.
2026-07-28 17:01:59 | WARNING  | EEG_API | the model not found , Downloading from W&B .
2026-07-28 17:02:04 | INFO     | EEG_API | model loaded successfully.
2026-07-28 17:08:41 | INFO     | EEG_API | using the cached model.
2026-07-28 17:08:44 | INFO     | EEG_API | model loaded successfully.
2026-07-28 18:06:36 | INFO     | EEG_API | using the cached model.
2026-07-28 18:06:37 | INFO     | EEG_API | model loaded successfully.
2026-07-28 18:06:47 | INFO     | EEG_API | a prediction request  recieved:
2026-07-28 18:06:47 | INFO     | EEG_API | the data file is accepted
2026-07-28 18:06:47 | WARNING  | EEG_API | the data has unnamed_cols that need further processing
2026-07-28 18:06:47 | INFO     | EEG_API | the data set is valid , starting the inference job batch
2026-07-28 18:07:05 | INFO     | EEG_API | using the cached model.
2026-07-28 18:07:07 | INFO     | EEG_API | model loaded successfully.
2026-07-28 18:07:07 | INFO     | EEG_API | a prediction request  recieved:
2026-07-28 18:07:07 | INFO     | EEG_API | the data file is accepted
2026-07-28 18:07:07 | WARNING  | EEG_API | the data has unnamed_cols that need further processing
2026-07-28 18:07:07 | INFO     | EEG_API | the data set is valid , starting the inference job batch
2026-07-28 18:07:51 | INFO     | EEG_API | using the cached model.
2026-07-28 18:07:54 | INFO     | EEG_API | model loaded successfully.
2026-07-28 18:07:54 | INFO     | EEG_API | a prediction request  recieved:
2026-07-28 18:07:54 | INFO     | EEG_API | the data file is accepted
2026-07-28 18:07:54 | WARNING  | EEG_API | the data has unnamed_cols that need further processing
2026-07-28 18:07:54 | INFO     | EEG_API | the data set is valid , starting the inference job batch
2026-07-29 12:19:45 | INFO     | EEG_API | using the cached model.
